,Date,Open,High,Low,Close,Volume
0,2022-06-09,147.0800,147.9500,142.5300,142.6400,69472976
1,2022-06-08,148.5800,149.8697,147.4600,147.9600,53950201
2,2022-06-07,144.3450,149.0000,144.1000,148.7100,67808150
3,2022-06-06,147.0300,148.5689,144.9000,146.1400,71598380
4,2022-06-03,146.9000,147.9700,144.4600,145.3800,88570289
5,2022-06-02,147.8300,151.2700,146.8600,151.2100,72348055
6,2022-06-01,149.9000,151.7400,147.6800,148.7100,74286635
7,2022-05-31,149.0700,150.6600,146.8400,148.8400,103718416
8,2022-05-27,145.3900,149.6800,145.2600,149.6400,90978503
9,2022-05-26,137.3900,144.3400,137.1400,143.7800,90601548
10,2022-05-25,138.4300,141.7850,138.3400,140.5200,92482696
11,2022-05-24,140.8050,141.9700,137.3300,140.3600,104132746
12,2022-05-23,137.7900,143.2600,137.6500,143.1100,117726265
13,2022-05-20,139.0900,140.7000,132.6100,137.5900,137426125
14,2022-05-19,139.8800,141.6600,136.6000,137.3500,136095640
15,2022-05-18,146.8500,147.3601,139.9000,140.8200,109742890
16,2022-05-17,148.8600,149.7700,146.6800,149.2400,78336254
17,2022-05-16,145.5500,147.5199,144.1800,145.5400,86643781
18,2022-05-13,144.5900,148.1050,143.1100,147.1100,113990852
19,2022-05-12,142.7700,146.2000,138.8000,142.5600,182602041
20,2022-05-11,153.5000,155.4500,145.8100,146.5000,142689825
21,2022-05-10,155.5200,156.7400,152.9300,154.5100,115366736
22,2022-05-09,154.9250,155.8300,151.4900,152.0600,131577921
23,2022-05-06,156.0100,159.4400,154.1800,157.2800,116124647
24,2022-05-05,163.8500,164.0800,154.9500,156.7700,130525275
25,2022-05-04,159.6700,166.4800,159.2600,166.0200,107521649
26,2022-05-03,158.1500,160.7100,156.3200,159.4800,88966526
27,2022-05-02,156.7100,158.2300,153.2700,157.9600,123055265
28,2022-04-29,161.8400,166.2000,157.2500,157.6500,131747571
29,2022-04-28,159.2500,164.5150,158.9300,163.6400,130216792
30,2022-04-27,155.9100,159.7900,155.3800,156.5700,88063191
31,2022-04-26,162.2500,162.3400,156.7200,156.8000,94008394
32,2022-04-25,161.1200,163.1700,158.4600,162.8800,96046376
33,2022-04-22,166.4600,167.8699,161.5000,161.7900,84882424
34,2022-04-21,168.9100,171.5300,165.9100,166.4200,87227768
35,2022-04-20,168.7600,168.8800,166.1000,167.2300,67718110
36,2022-04-19,165.0200,167.8200,163.9100,167.4000,67723833
37,2022-04-18,163.9200,166.5984,163.5700,165.0700,69023941
38,2022-04-14,170.6200,171.2700,165.0400,165.2900,75329376
39,2022-04-13,167.3900,171.0400,166.7700,170.4000,70618925
40,2022-04-12,168.0200,169.8700,166.6400,167.6600,79265181
41,2022-04-11,168.7100,169.0300,165.5000,165.7500,72246706
42,2022-04-08,171.7800,171.7800,169.2000,170.0900,76575508
43,2022-04-07,171.1600,173.3600,169.8500,172.1400,77594650
44,2022-04-06,172.3600,173.6300,170.1300,171.8300,89058782
45,2022-04-05,177.5000,178.3000,174.4150,175.0600,70902999
46,2022-04-04,174.5700,178.4900,174.4400,178.4400,76545983
47,2022-04-01,174.0300,174.8800,171.9400,174.3100,78751328
48,2022-03-31,177.8400,178.0300,174.4000,174.6100,103049285
49,2022-03-30,178.5500,179.6100,176.7000,177.7700,92633154
50,2022-03-29,176.6900,179.0100,176.3400,178.9600,100589440
